Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
12 COURS RICHARD VITTON,69383,Lyon 3e Arrondissement,69383000CX0127,45.753963,4.886366,0.8018169208211143,,12 Cours Richard Vitton 69003 Lyon,housenumber,69383_6040_00012,12,12 Cours Richard Vitton,Cours Richard Vitton,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 PLACE BIR HAKEIM,69383,Lyon 3e Arrondissement,69383000AY0090,45.752739,4.854746,0.7649334343434343,,12 Place Bir-Hakeim 69003 Lyon,housenumber,69383_0915_00012,12,12 Place Bir-Hakeim,Place Bir-Hakeim,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 QUAI VICTOR AUGAGNEUR,69383,Lyon 3e Arrondissement,69383000AI0052,45.760241,4.841199,0.8014927272727272,,12 Quai Victor Augagneur 69003 Lyon,housenumber,69383_7375_00012,12,12 Quai Victor Augagneur,Quai Victor Augagneur,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE AIME COLLOMB,69383,Lyon 3e Arrondissement,69383000AL0086,45.756874,4.841893,0.7653670707070707,,12 Rue Aimé Collomb 69003 Lyon,housenumber,69383_0090_00012,12,12 Rue Aimé Collomb,Rue Aimé Collomb,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
33 RUE PETREQUIN,69386,Lyon 6e Arrondissement,69386000AW0058,45.767586,4.86271,0.7311781818181817,,33 Rue Pétrequin 69006 Lyon,housenumber,69386_5400_00033,33,33 Rue Pétrequin,Rue Pétrequin,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
26 COURS ALBERT THOMAS,69388,Lyon 8e Arrondissement,69388000AC0002,45.748295,4.862914,0.7911427272727273,,26 Cours Albert Thomas 69008 Lyon,housenumber,69388_0120_00026,26,26 Cours Albert Thomas,Cours Albert Thomas,69008,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69388,,,Lyon 8e Arrondissement,ok
33 RUE SAINTE GENEVIEVE,69386,Lyon 6e Arrondissement,69386000AY0023,45.766114,4.864883,0.7941569208211142,,33 Rue Sainte Geneviève 69006 Lyon,housenumber,69386_6630_00033,33,33 Rue Sainte Geneviève,Rue Sainte Geneviève,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
12 RUE AUGUSTE LACROIX,69383,Lyon 3e Arrondissement,69383000AM0015,45.755108,4.844961,0.7869790909090909,,12 Rue Auguste Lacroix 69003 Lyon,housenumber,69383_0533_00012,12,12 Rue Auguste Lacroix,Rue Auguste Lacroix,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE BARA,69383,Lyon 3e Arrondissement,69383000BK0020,45.75057,4.873269,0.683245023923445,0.44606265734265726,12 Rue Bara 69003 Lyon,housenumber,69383_0640_00012,12,12 Rue Bara,Rue Bara,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE D ARMENIE,69383,Lyon 3e Arrondissement,69383000AW0111,45.754308,4.849307,0.7415245454545454,,12 Rue d'Arménie 69003 Lyon,housenumber,69383_0470_00012,12,12 Rue d'Arménie,Rue d'Arménie,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE D AUBIGNY,69383,Lyon 3e Arrondissement,69383000EK0035,45.761131,4.863316,0.7436609090909091,,12 Rue d'Aubigny 69003 Lyon,housenumber,69383_0515_00012,12,12 Rue d'Aubigny,Rue d'Aubigny,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DANTON,69383,Lyon 3e Arrondissement,69383000AS0053,45.755685,4.857329,0.7105861038961039,0.4204854545454545,12 Rue Danton 69003 Lyon,housenumber,69383_2080_00012,12,12 Rue Danton,Rue Danton,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DE LA BALME,69383,Lyon 3e Arrondissement,69383000CH0003,45.748566,4.88946,0.7666725174825174,,12 Rue de la Balme 69003 Lyon,housenumber,69383_0610_00012,12,12 Rue de la Balme,Rue de la Balme,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DE LA CAILLE,69383,Lyon 3e Arrondissement,69383000CN0077,45.751845,4.894742,0.768719797979798,0.5044832915360501,12 Rue de la Caille 69003 Lyon,housenumber,69383_1170_00012,12,12 Rue de la Caille,Rue de la Caille,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
33 RUE TRONCHET,69386,Lyon 6e Arrondissement,69386000AN0027,45.769823,4.84689,0.7369058498023715,,33 Rue Tronchet 69006 Lyon,housenumber,69386_7180_00033,33,33 Rue Tronchet,Rue Tronchet,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
12 RUE DE NAZARETH,69383,Lyon 3e Arrondissement,69383000DW0003,45.759391,4.871696,0.757597062937063,,12 Rue de Nazareth 69003 Lyon,housenumber,69383_4995_00012,12,12 Rue de Nazareth,Rue de Nazareth,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DOCTEUR REBATEL,69383,Lyon 3e Arrondissement,69383000BK0019,45.749924,4.873499,0.7912036363636364,,12 Rue Docteur Rebatel 69003 Lyon,housenumber,69383_2245_00012,12,12 Rue Docteur Rebatel,Rue Docteur Rebatel,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DU GAZOMETRE,69383,Lyon 3e Arrondissement,69383000AT0058,45.756285,4.850481,0.7626116161616161,,12 Rue du Gazomètre 69003 Lyon,housenumber,69383_3075_00012,12,12 Rue du Gazomètre,Rue du Gazomètre,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DUNOIR,69383,Lyon 3e Arrondissement,69383000AH0102,45.760897,4.846175,0.7111933766233766,,12 Rue Dunoir 69003 Lyon,housenumber,69383_2405_00012,12,12 Rue Dunoir,Rue Dunoir,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE DUPHOT,69383,Lyon 3e Arrondissement,69383000AK0056,45.757588,4.843439,0.7055924675324675,,12 Rue Duphot 69003 Lyon,housenumber,69383_2410_00012,12,12 Rue Duphot,Rue Duphot,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE FERDINAND BUISSON,69383,Lyon 3e Arrondissement,69383000CT0010,45.747814,4.883979,0.8078318181818182,,12 Rue Ferdinand Buisson 69003 Lyon,housenumber,69383_2705_00012,12,12 Rue Ferdinand Buisson,Rue Ferdinand Buisson,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE LAVOISIER,69383,Lyon 3e Arrondissement,69383000AS0133,45.756014,4.858278,0.7380599999999999,,12 Rue Lavoisier 69003 Lyon,housenumber,69383_4180_00012,12,12 Rue Lavoisier,Rue Lavoisier,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 BOULEVARD MARIUS VIVIER MERLE | 100 RUE DE BONNEL,69383,Lyon 3e Arrondissement,69383000AR0005,45.762374,4.857323,0.6254137161084529,0.32017614035087716,10 Boulevard Marius Vivier-Merle 69003 Lyon,housenumber,69383_7520_00010,10,10 Boulevard Marius Vivier-Merle,Boulevard Marius Vivier-Merle,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 COURS LAFAYETTE,69383,Lyon 3e Arrondissement,69383000AB0005,45.763531,4.842723,0.7675843356643356,0.4141836363636363,10 Cours Lafayette 69003 Lyon,housenumber,69383_4095_00010,10,10 Cours Lafayette,Cours Lafayette,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 IMPASSE LINDBERGH,69383,Lyon 3e Arrondissement,69383000CT0068,45.747079,4.886683,0.7716702597402597,,10 Impasse Lindbergh 69003 Lyon,housenumber,69383_4250_00010,10,10 Impasse Lindbergh,Impasse Lindbergh,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 PLACE BIR HAKEIM,69383,Lyon 3e Arrondissement,69383000AY0031,45.752437,4.854821,0.7649334343434343,,10 Place Bir-Hakeim 69003 Lyon,housenumber,69383_0915_00010,10,10 Place Bir-Hakeim,Place Bir-Hakeim,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE AIME COLLOMB,69383,Lyon 3e Arrondissement,69383000AL0085,45.756916,4.841751,0.7653670707070707,,10 Rue Aimé Collomb 69003 Lyon,housenumber,69383_0090_00010,10,10 Rue Aimé Collomb,Rue Aimé Collomb,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE AUGUSTE LACROIX,69383,Lyon 3e Arrondissement,69383000AM0016,45.755222,4.844896,0.7869790909090909,,10 Rue Auguste Lacroix 69003 Lyon,housenumber,69383_0533_00010,10,10 Rue Auguste Lacroix,Rue Auguste Lacroix,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE COMBET DESCOMBES,69383,Lyon 3e Arrondissement,69383000DT0015,45.758176,4.870045,0.7886787390029325,,10 Rue Combet-Descombes 69003 Lyon,housenumber,69383_1820_00010,10,10 Rue Combet-Descombes,Rue Combet-Descombes,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE DAVID,69383,Lyon 3e Arrondissement,69383000DO0052,45.753684,4.869176,0.6968981818181818,0.5159927272727273,10 Rue David 69003 Lyon,housenumber,69383_2095_00010,10,10 Rue David,Rue David,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE DE L ABONDANCE | 300 RUE ANDRE PHILIP | 310 RUE ANDRE PHILIP,69383,Lyon 3e Arrondissement,69383000AW0026,45.753423,4.851208,0.3762855844155844,0.3278902117061021,10 Rue de l'Abondance 69003 Lyon,housenumber,69383_0030_00010,10,10 Rue de l'Abondance,Rue de l'Abondance,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
33 RUE VENDOME | 31 RUE VENDOME,69386,Lyon 6e Arrondissement,69386000AH0070,45.773577,4.8442,0.4576267567567568,,33 Rue Vendôme 69006 Lyon,housenumber,69386_7310_00033,33,33 Rue Vendôme,Rue Vendôme,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
10 RUE DE L EPEE,69383,Lyon 3e Arrondissement,69383000AL0105,45.756626,4.843658,0.7408736363636363,,10 Rue de l'Epée 69003 Lyon,housenumber,69383_2535_00010,10,10 Rue de l'Epée,Rue de l'Epée,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE DES DAHLIAS,69383,Lyon 3e Arrondissement,69383000BE0013,45.749043,4.870658,0.7586934265734266,,10 Rue des Dahlias 69003 Lyon,housenumber,69383_2070_00010,10,10 Rue des Dahlias,Rue des Dahlias,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE DES TEINTURIERS | 104 RUE BARABAN,69383,Lyon 3e Arrondissement,69383000DS0074,45.758665,4.867141,0.5311573913043478,0.42899363636363635,10 Rue des Teinturiers 69003 Lyon,housenumber,69383_6910_00010,10,10 Rue des Teinturiers,Rue des Teinturiers,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
33B RUE BOSSUET | 35B RUE BOSSUET | 33 B RUE BOSSUET | 35 RUE BOSSUET | 35 B RUE BOSSUET,69386,Lyon 6e Arrondissement,69386000BK0214,45.767805,4.849716,0.22429197802197803,,33bis Rue Bossuet 69006 Lyon,housenumber,69386_1040_00033_bis,33bis,33bis Rue Bossuet,Rue Bossuet,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
10 RUE DU DOCTEUR BONHOMME | 10 B RUE DU DOCTEUR BONHOMME | 8 RUE DU DOCTEUR BONHOMME | 14 RUE DU DOCTEUR BONHOMME | 12 RUE DU DOCTEUR BONHOMME,69383,Lyon 3e Arrondissement,69383000BM0013,45.746595,4.872984,0.2226343166357452,,10 Rue Docteur Bonhomme 69003 Lyon,housenumber,69383_2205_00010,10,10 Rue Docteur Bonhomme,Rue Docteur Bonhomme,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE FRANCOIS GILLET | 8 RUE FRANCOIS GILLET,69383,Lyon 3e Arrondissement,69383000DX0034,45.759722,4.873347,0.4782722377622377,,10 Rue François Gillet 69003 Lyon,housenumber,69383_2870_00010,10,10 Rue François Gillet,Rue François Gillet,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE FREDERIC MISTRAL,69383,Lyon 3e Arrondissement,69383000DV0018,45.757284,4.876279,0.792844193548387,,10 Rue Frédéric Mistral 69003 Lyon,housenumber,69383_2900_00010,10,10 Rue Frédéric Mistral,Rue Frédéric Mistral,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
34 BOULEVARD DES BELGES,69386,Lyon 6e Arrondissement,69386000AI0053,45.774249,4.84911,0.7984814662756597,0.21665046511627906,34 Boulevard des Belges 69006 Lyon,housenumber,69386_0780_00034,34,34 Boulevard des Belges,Boulevard des Belges,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
10 RUE GABILLOT,69383,Lyon 3e Arrondissement,69383000EL0038,45.757689,4.864618,0.7324713043478259,,10 Rue Gabillot 69003 Lyon,housenumber,69383_2930_00010,10,10 Rue Gabillot,Rue Gabillot,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE GANDOLIERE,69383,Lyon 3e Arrondissement,69383000EK0045,45.760427,4.865391,0.7414563636363636,,10 Rue Gandolière 69003 Lyon,housenumber,69383_2990_00010,10,10 Rue Gandolière,Rue Gandolière,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE GERMAIN DAVID,69383,Lyon 3e Arrondissement,69383000BO0013,45.747141,4.878798,0.7757329870129869,0.51508,10 Rue Germain David 69003 Lyon,housenumber,69383_3220_00010,10,10 Rue Germain David,Rue Germain David,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE GUILLOUD,69383,Lyon 3e Arrondissement,69383000BC0100,45.748482,4.865259,0.7352267588932805,,10 Rue Guilloud 69003 Lyon,housenumber,69383_3395_00010,10,10 Rue Guilloud,Rue Guilloud,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE JEAN RENOIR,69383,Lyon 3e Arrondissement,69383000AZ0154,45.752637,4.865045,0.7555425174825174,,10 Rue Jean Renoir 69003 Lyon,housenumber,69383_3830_00010,10,10 Rue Jean Renoir,Rue Jean Renoir,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
34 BOULEVARD DES BROTTEAUX,69386,Lyon 6e Arrondissement,69386000BC0086,45.767522,4.856757,0.8117894652406417,,34 Boulevard des Brotteaux 69006 Lyon,housenumber,69386_1130_00034,34,34 Boulevard des Brotteaux,Boulevard des Brotteaux,69006,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69386,,,Lyon 6e Arrondissement,ok
10 RUE LOUISE,69383,Lyon 3e Arrondissement,69383000CW0029,45.750191,4.885484,0.710797922077922,0.4183490909090909,10 Rue Louise 69003 Lyon,housenumber,69383_4375_00010,10,10 Rue Louise,Rue Louise,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE MAZENOD,69383,Lyon 3e Arrondissement,69383000AK0068,45.758403,4.841829,0.7248424793388429,,10 Rue Mazenod 69003 Lyon,housenumber,69383_4705_00010,10,10 Rue Mazenod,Rue Mazenod,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE RABELAIS,69383,Lyon 3e Arrondissement,69383000AB0049,45.762435,4.843008,0.7337794861660079,0.4267228213166144,10 Rue Rabelais 69003 Lyon,housenumber,69383_5890_00010,10,10 Rue Rabelais,Rue Rabelais,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
10 RUE SAINTE ANNE DE BARABAN,69383,Lyon 3e Arrondissement,69383000DT0008,45.758863,4.869001,0.8270280343980343,,10 Rue Sainte Anne de Baraban 69003 Lyon,housenumber,69383_6605_00010,10,10 Rue Sainte Anne de Baraban,Rue Sainte Anne de Baraban,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE LE ROYER,69383,Lyon 3e Arrondissement,69383000AC0047,45.762247,4.846929,0.7302331225296442,0.3082084297520661,12 Rue Le Royer 69003 Lyon,housenumber,69383_4185_00012,12,12 Rue Le Royer,Rue Le Royer,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE LOUIS JASSERON | 10 RUE LOUIS JASSERON | 65 RUE BARABAN | 67 RUE BARABAN | 61 RUE BARABAN | 14 RUE LOUIS JASSERON | 69 RUE BARABAN | 63 RUE BARABAN,69383,Lyon 3e Arrondissement,69383000DZ0094,45.760518,4.869433,0.2166312121212121,,12 Rue Louis Jasseron 69003 Lyon,housenumber,69383_4377_00012,12,12 Rue Louis Jasseron,Rue Louis Jasseron,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE MAZENOD,69383,Lyon 3e Arrondissement,69383000AK0069,45.758418,4.84204,0.7248424793388429,,12 Rue Mazenod 69003 Lyon,housenumber,69383_4705_00012,12,12 Rue Mazenod,Rue Mazenod,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE MORTIER,69383,Lyon 3e Arrondissement,69383000AL0089,45.756252,4.842042,0.7180061157024793,,12 Rue Mortier 69003 Lyon,housenumber,69383_4925_00012,12,12 Rue Mortier,Rue Mortier,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE SAINT MAXIMIN | 3 RUE ROSSAN,69383,Lyon 3e Arrondissement,69383000BC0108,45.749479,4.865654,0.5527021507760532,0.39045696230598664,12 Rue Saint Maximin 69003 Lyon,housenumber,69383_6470_00012,12,12 Rue Saint Maximin,Rue Saint Maximin,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE SAINT THEODORE,69383,Lyon 3e Arrondissement,69383000AZ0135,45.749038,4.863439,0.7765440438871473,,12 Rue Saint Théodore 69003 Lyon,housenumber,69383_6570_00012,12,12 Rue Saint Théodore,Rue Saint Théodore,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE VAUDREY,69383,Lyon 3e Arrondissement,69383000AN0041,45.757339,4.847578,0.7166979338842975,,12 Rue Vaudrey 69003 Lyon,housenumber,69383_7285_00012,12,12 Rue Vaudrey,Rue Vaudrey,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
12 RUE VILLON,69383,Lyon 3e Arrondissement,69383000BC0067,45.747653,4.867418,0.7061997402597402,0.51508,12 Rue Villon 69003 Lyon,housenumber,69383_7485_00012,12,12 Rue Villon,Rue Villon,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
120 AVENUE DU MARECHAL DE SAXE,69383,Lyon 3e Arrondissement,69383000AN0008,45.757245,4.846108,0.7615280861244019,,120 Avenue Maréchal de Saxe 69003 Lyon,housenumber,69383_4535_00120,120,120 Avenue Maréchal de Saxe,Avenue Maréchal de Saxe,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
120 RUE ANTOINE CHARIAL,69383,Lyon 3e Arrondissement,69383000DT0116,45.757348,4.872273,0.7996469208211142,,120 Rue Antoine Charial 69003 Lyon,housenumber,69383_0312_00120,120,120 Rue Antoine Charial,Rue Antoine Charial,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
120 RUE MAZENOD | 5 RUE CLOS SUIPHON | 114 RUE MAZENOD | 3 RUE CLOS SUIPHON,69383,Lyon 3e Arrondissement,69383000AP0053,45.757844,4.850065,0.28805363636363635,0.27959454545454543,Rue Clos Suiphon 69003 Lyon,street,69383_1765,,Rue Clos Suiphon,Rue Clos Suiphon,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
121 RUE BARABAN,69383,Lyon 3e Arrondissement,69383000DS0116,45.757093,4.867457,0.7390185770750988,0.3763620574162679,121 Rue Baraban 69003 Lyon,housenumber,69383_0645_00121,121,121 Rue Baraban,Rue Baraban,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
121 RUE PIERRE CORNEILLE,69383,Lyon 3e Arrondissement,69383000AH0008,45.760996,4.84452,0.8031290909090909,,121 Rue Pierre Corneille 69003 Lyon,housenumber,69383_5475_00121,121,121 Rue Pierre Corneille,Rue Pierre Corneille,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
122 AVENUE DU MARECHAL DE SAXE,69383,Lyon 3e Arrondissement,69383000AN0009,45.757133,4.846133,0.7615280861244019,,122 Avenue Maréchal de Saxe 69003 Lyon,housenumber,69383_4535_00122,122,122 Avenue Maréchal de Saxe,Avenue Maréchal de Saxe,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
122 RUE CHAPONNAY,69383,Lyon 3e Arrondissement,69383000AP0029,45.758532,4.851647,0.7551854545454545,,122 Rue Chaponnay 69003 Lyon,housenumber,69383_1455_00122,122,122 Rue Chaponnay,Rue Chaponnay,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 B COURS DOCTEUR LONG | 123B COURS DOCTEUR LONG,69383,Lyon 3e Arrondissement,69383000CR0103,45.751359,4.889899,0.4942915151515152,,123bis Cours Docteur Long 69003 Lyon,housenumber,69383_2225_00123_bis,123bis,123bis Cours Docteur Long,Cours Docteur Long,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 COURS ALBERT THOMAS,69383,Lyon 3e Arrondissement,69383000BM0039,45.744719,4.874009,0.7986660117302051,,123 Cours Albert Thomas 69003 Lyon,housenumber,69383_0120_00123,123,123 Cours Albert Thomas,Cours Albert Thomas,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 RUE ANTOINE CHARIAL | 121 RUE ANTOINE CHARIAL,69383,Lyon 3e Arrondissement,69383000DT0035,45.757481,4.872238,0.4797322314049586,,123 Rue Antoine Charial 69003 Lyon,housenumber,69383_0312_00123,123,123 Rue Antoine Charial,Rue Antoine Charial,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 RUE DE LA TETE D OR,69383,Lyon 3e Arrondissement,69383000EN0024,45.763294,4.853637,0.6108829325513196,,123 Rue Tête d'Or 69003 Lyon,housenumber,69383_6960_00123,123,123 Rue Tête d'Or,Rue Tête d'Or,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 RUE DU DAUPHINE | 125 RUE DU DAUPHINE,69383,Lyon 3e Arrondissement,69383000DN0064,45.754751,4.87449,0.47560500967117986,,123 Rue du Dauphiné 69003 Lyon,housenumber,69383_2090_00123,123,123 Rue du Dauphiné,Rue du Dauphiné,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 RUE MASSENA | 114 RUE NEY | 112 RUE NEY,69383,Lyon 3e Arrondissement,69383000EN0040,45.763269,4.855386,0.3812101160541586,0.2319513012477718,123 Rue Masséna 69003 Lyon,housenumber,69383_4650_00123,123,123 Rue Masséna,Rue Masséna,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
123 RUE PIERRE CORNEILLE,69383,Lyon 3e Arrondissement,69383000AH0091,45.76067,4.844581,0.8031290909090909,,123 Rue Pierre Corneille 69003 Lyon,housenumber,69383_5475_00123,123,123 Rue Pierre Corneille,Rue Pierre Corneille,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
124 AVENUE DU MARECHAL DE SAXE,69383,Lyon 3e Arrondissement,69383000AN0010,45.756827,4.846198,0.7615280861244019,,124 Avenue Maréchal de Saxe 69003 Lyon,housenumber,69383_4535_00124,124,124 Avenue Maréchal de Saxe,Avenue Maréchal de Saxe,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
124 AVENUE LACASSAGNE,69383,Lyon 3e Arrondissement,69383000BT0005,45.747063,4.883435,0.7926394984326018,,124 Avenue Lacassagne 69003 Lyon,housenumber,69383_4080_00124,124,124 Avenue Lacassagne,Avenue Lacassagne,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
124 RUE DU DAUPHINE,69383,Lyon 3e Arrondissement,69383000DL0001,45.754275,4.873401,0.7764861616161616,,124 Rue du Dauphiné 69003 Lyon,housenumber,69383_2090_00124,124,124 Rue du Dauphiné,Rue du Dauphiné,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
124 RUE PAUL BERT,69383,Lyon 3e Arrondissement,69383000AS0032,45.756966,4.854975,0.7626536363636363,0.28872,124 Rue Paul Bert 69003 Lyon,housenumber,69383_5245_00124,124,124 Rue Paul Bert,Rue Paul Bert,69003,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69383,,,Lyon 3e Arrondissement,ok
