Adresse,CodePostal,Arrondissement ,idParcelle,latitude,longitude,result_score,result_score_next,result_label,result_type,result_id,result_housenumber,result_name,result_street,result_postcode,result_city,result_context,result_citycode,result_oldcitycode,result_oldcity,result_district,result_status
4 GRANDE RUE DE LA CROIX ROUSSE,69384,Lyon 4e Arrondissement,69384000AW0067,45.776485,4.8324,0.8327616783216782,0.5329966115702479,4 Grande Rue de la Croix-Rousse 69004 Lyon,housenumber,69384_2015_00004,4,4 Grande Rue de la Croix-Rousse,Grande Rue de la Croix-Rousse,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 MONTEE BONAFOUS,69384,Lyon 4e Arrondissement,69384000BE0062,45.77439,4.837862,0.7476027272727271,,4 Montée Bonafous 69004 Lyon,housenumber,69384_0985_00004,4,4 Montée Bonafous,Montée Bonafous,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
9 PLACE TOBIE ROBATEL,69381,Lyon 1er Arrondissement,69381000AT0040,45.767848,4.83179,0.7727049529780564,,9 Place Tobie Robatel 69001 Lyon,housenumber,69381_7020_00009,9,9 Place Tobie Robatel,Place Tobie Robatel,69001,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69381,,,Lyon 1er Arrondissement,ok
4 PLACE BERTONE,69384,Lyon 4e Arrondissement,69384000AX0142,45.778061,4.83434,0.5672469696969695,,4 Place Marcel Bertone 69004 Lyon,housenumber,69384_4505_00004,4,4 Place Marcel Bertone,Place Marcel Bertone,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 PLACE CAMILLE FLAMMARION | 5 PLACE CAMILLE FLAMMARION,69384,Lyon 4e Arrondissement,69384000AK0005,45.779306,4.81939,0.466233084947839,0.22187661555312155,4 Place Camille Flammarion 69004 Lyon,housenumber,69384_1200_00004,4,4 Place Camille Flammarion,Place Camille Flammarion,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 PLACE DE LA CROIX ROUSSE,69384,Lyon 4e Arrondissement,69384000AT0084,45.775336,4.832017,0.806453101604278,0.5408036363636363,4 Place de la Croix-Rousse 69004 Lyon,housenumber,69384_2010_00004,4,4 Place de la Croix-Rousse,Place de la Croix-Rousse,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE CALAS,69384,Lyon 4e Arrondissement,69384000AS0141,45.777744,4.83151,0.6784922966507178,,4 Rue Calas 69004 Lyon,housenumber,69384_1180_00004,4,4 Rue Calas,Rue Calas,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE CELU,69384,Lyon 4e Arrondissement,69384000BE0094,45.775058,4.835994,0.40685979472140754,,4 Rue Jeanne-Marie Celu 69004 Lyon,housenumber,69384_3850_00004,4,4 Rue Jeanne-Marie Celu,Rue Jeanne-Marie Celu,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
4 RUE D ISLY,69384,Lyon 4e Arrondissement,69384000AN0120,45.774775,4.827192,0.6899072727272726,,4 Rue d'Isly 69004 Lyon,housenumber,69384_3610_00004,4,4 Rue d'Isly,Rue d'Isly,69004,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69384,,,Lyon 4e Arrondissement,ok
9 RUE CONSTANTINE,69381,Lyon 1er Arrondissement,69381000AT0051,45.767069,4.831991,0.74624,,9 Rue Constantine 69001 Lyon,housenumber,69381_1895_00009,9,9 Rue Constantine,Rue Constantine,69001,Lyon,"69, Rhône, Auvergne-Rhône-Alpes",69381,,,Lyon 1er Arrondissement,ok
